Zeit;Kanal A
(ms);(mV)

-25,00666572;-2,04785900
-25,00166572;-1,86146600
-24,99666572;-1,67568900
-24,99166572;-1,67568900
-24,98666572;-1,86146600
-24,98166572;-2,23425200
-24,97666572;-1,67568900
-24,97166572;-2,42002900
-24,96666572;-2,60642200
-24,96166572;-2,42002900
-24,95666572;-2,60642200
-24,95166572;-2,97859200
-24,94666572;-1,67568900
-24,94166572;-0,93073320
-24,93666572;-1,30290300
-24,93166572;0,18577760
-24,92666572;0,18577760
-24,92166572;1,67568900
-24,91666572;0,93073320
-24,91166572;1,48929600
-24,90666572;2,42002900
-24,90166572;2,42002900
-24,89666572;2,60642200
-24,89166572;2,79281500
-24,88666572;2,79281500
-24,88166572;2,97859200
-24,87666572;3,35137800
-24,87166572;2,60642200
-24,86666572;1,86146600
-24,86166572;3,16498500
-24,85666572;2,79281500
-24,85166572;2,97859200
-24,84666572;2,42002900
-24,84166572;3,16498500
-24,83666572;2,97859200
-24,83166572;2,79281500
-24,82666572;2,60642200
-24,82166572;3,35137800
-24,81666572;2,60642200
-24,81166572;2,60642200
-24,80666572;2,23425200
-24,80166572;2,42002900
-24,79666572;2,04785900
-24,79166572;2,60642200
-24,78666572;2,23425200
-24,78166572;2,04785900
-24,77666572;2,42002900
-24,77166572;2,04785900
-24,76666572;2,04785900
-24,76166572;2,04785900
-24,75666572;1,86146600
-24,75166572;2,42002900
-24,74666572;1,86146600
-24,74166573;2,04785900
-24,73666573;2,04785900
-24,73166573;2,04785900
-24,72666573;1,86146600
-24,72166573;2,04785900
-24,71666573;1,86146600
-24,71166573;3,35137800
-24,70666573;2,04785900
-24,70166573;2,04785900
-24,69666573;1,11712600
-24,69166573;1,67568900
-24,68666573;1,48929600
-24,68166573;1,86146600
-24,67666573;1,86146600
-24,67166573;1,48929600
-24,66666573;1,67568900
-24,66166573;1,48929600
-24,65666573;0,74434050
-24,65166573;1,11712600
-24,64666573;0,55856290
-24,64166573;0,18577760
-24,63666573;0,00000000
-24,63166573;0,00000000
