Zeit;Kanal A
(ms);(V)

-5,00004665;1,12496900
-4,99994265;1,12496900
-4,99983865;1,07806300
-4,99973465;1,03115800
-4,99963065;1,07806300
-4,99952665;1,03115800
-4,99942265;1,03115800
-4,99931865;1,03115800
-4,99921465;0,98440580
-4,99911065;1,03115800
-4,99900665;1,03115800
-4,99890265;1,03115800
-4,99879865;1,07806300
-4,99869465;1,07806300
-4,99859065;1,12496900
-4,99848665;1,07806300
-4,99838265;1,12496900
-4,99827865;1,12496900
-4,99817465;1,12496900
-4,99807065;1,12496900
-4,99796665;1,12496900
-4,99786265;1,17187500
-4,99775865;1,12496900
-4,99765465;1,07806300
-4,99755065;1,07806300
-4,99744665;1,07806300
-4,99734265;1,07806300
-4,99723865;1,07806300
-4,99713465;1,03115800
-4,99703065;1,03115800
-4,99692665;1,03115800
-4,99682265;1,03115800
-4,99671865;1,03115800
-4,99661465;1,03115800
-4,99651065;1,03115800
-4,99640665;1,03115800
-4,99630265;1,07806300
-4,99619865;1,07806300
-4,99609465;1,07806300
-4,99599065;1,12496900
-4,99588665;1,12496900
-4,99578265;1,12496900
-4,99567865;1,12496900
-4,99557465;1,12496900
-4,99547065;1,12496900
-4,99536665;1,12496900
-4,99526265;1,12496900
-4,99515865;1,07806300
-4,99505465;1,12496900
-4,99495065;1,07806300
-4,99484665;1,07806300
-4,99474265;1,03115800
-4,99463865;1,03115800
-4,99453465;1,03115800
-4,99443065;1,03115800
-4,99432665;1,03115800
-4,99422265;1,03115800
-4,99411865;1,03115800
-4,99401465;1,03115800
-4,99391065;1,03115800
-4,99380665;1,07806300
-4,99370265;1,07806300
-4,99359865;1,12496900
-4,99349465;1,12496900
-4,99339065;1,12496900
-4,99328665;1,12496900
-4,99318265;1,12496900
-4,99307865;1,12496900
-4,99297465;1,12496900
-4,99287065;1,17187500
-4,99276665;1,12496900
-4,99266265;1,12496900
-4,99255865;1,07806300
-4,99245465;1,03115800
-4,99235065;1,07806300
-4,99224665;1,03115800
-4,99214265;1,07806300
-4,99203865;1,03115800
-4,99193465;1,03115800
-4,99183065;1,07806300
-4,99172665;1,03115800
-4,99162265;1,03115800
-4,99151865;1,03115800
-4,99141465;1,03115800
-4,99131065;1,07806300
-4,99120665;1,07806300
-4,99110265;1,07806300
-4,99099865;1,12496900
-4,99089465;1,12496900
-4,99079065;1,12496900
-4,99068665;1,12496900
-4,99058265;1,12496900
-4,99047865;1,12496900
-4,99037465;1,12496900
-4,99027065;1,12496900
-4,99016665;1,12496900
-4,99006265;1,07806300
-4,98995865;1,07806300
-4,98985465;1,07806300
-4,98975065;1,07806300
-4,98964665;1,07806300
-4,98954265;1,03115800
-4,98943865;1,07806300
-4,98933465;1,07806300
-4,98923065;1,07806300
-4,98912665;1,03115800
-4,98902265;1,07806300
-4,98891865;1,07806300
-4,98881465;1,07806300
-4,98871065;1,07806300
-4,98860665;1,07806300
-4,98850265;1,07806300
-4,98839865;1,12496900
-4,98829465;1,12496900
-4,98819065;1,12496900
-4,98808665;1,12496900
-4,98798265;1,12496900
-4,98787865;1,12496900
